Product,Selling Price,Current stock,SKU,Image _url
24V AC/DC Adapter Compatible with Epson Workforce ES-400II / ES-500WII / ES-500WR / DS-530 / J381A / DS-770 / B11B248301 / DS-780N / B11B227201 Document Scanner 24VDC,"৳ 1,800.00",3.00 Pieces,7044,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761893041/download_6_a3m1gl.jpg
26A challenger Compatible Toner Cartridge,"৳ 1,000.00",0.00 Pieces,7045,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761893117/download_7_ammplf.jpg
26A EURO Compatible Toner Cartridge,"৳ 2,200.00",0.00 Pieces,7046,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761893177/download_8_xki33i.jpg
26A GLAXXY Compatible Toner Cartridge,"৳ 1,900.00",0.00 Pieces,7047,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761893224/download_9_uagrxw.jpg
26A Printex Compatible Toner Cartridge,"৳ 1,850.00",0.00 Pieces,7048,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761893267/download_10_fophly.jpg
2mp Bullet Camera,"৳ 1,950.00",0.00 Pieces,7049,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761893310/2mp_Bullet_Camera_vykrw4.jpg
3.5 MM Aux Stereo Extension Cable Male To male 3M,৳ 250.00,15.00 Pieces,7050,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761893353/download_11_qrejcp.jpg
3.5 MM Male To Female Stereo Audio Jack,৳ 150.00,10.00 Pieces,7051,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761893429/download_12_eawqya.jpg
319 EURO Compatible Toner Cartridge,"৳ 1,300.00",0.00 Pieces,7052,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909328/download_14_ks42yb.jpg
319 GLAXXY Compatible Toner Cartridge,৳ 700.00,0.00 Pieces,7053,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909485/download_15_qoqh1p.jpg
319 Printex Compatible Toner Cartridge,৳ 730.00,0.00 Pieces,7054,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909551/download_js32xz.jpg
32 CH DVR,"৳ 19,000.00",0.00 Pieces,7055,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909668/download_1_iuhmas.jpg
32 GB Samsung Memorey Card Grade A,৳ 350.00,3.00 Pieces,7056,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909705/download_2_dqow3f.jpg
324 EURO Compatible Toner Cartridge,"৳ 2,100.00",0.00 Pieces,7057,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909755/download_3_ost3th.jpg
324 GLAXXY Compatible Toner Cartridge,"৳ 1,400.00",0.00 Pieces,7058,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761909821/images_zrxuo6.jpg
324 Printex Compatible Toner Cartridge,"৳ 1,450.00",0.00 Pieces,7059,
326 Asta Compatible Toner Cartridge,৳ 800.00,0.00 Pieces,7060,
326 BEST CHALLENGER Compatible Toner Cartridge,৳ 500.00,0.00 Pieces,7061,
326 EURO Compatible Toner Cartridge,"৳ 1,300.00",0.00 Pieces,7062,
326 GLAXXY Compatible Toner Cartridge,৳ 600.00,0.00 Pieces,7063,
326 Printex Compatible Toner Cartridge,৳ 550.00,0.00 Pieces,7064,
36A EURO Compatible Toner Cartridge,"৳ 1,300.00",0.00 Pieces,7065,
36A GLAXXY Compatible Toner Cartridge,৳ 600.00,0.00 Pieces,7066,
36A Printex Compatible Toner Cartridge,৳ 700.00,0.00 Pieces,7067,
3d Max Licence,৳ 850.00,0.00 Pieces,7068,
