Product,Selling Price,Current stock,SKU,Image _url
CCD Scanner Cable For HP 107A(9+5)Pin (Refurbished),৳ 700.00,15.00 Pieces,7371,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761923738/download_56_uselvn.jpg
CCD Scanner Cable for HP DeskJet GT-5810 / GT-5820 / 109 Printer (11+ 6 Pin 458 MM) (M2Q28-50001),৳ 700.00,45.00 Pieces,7372,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761923821/download_57_nbrkxk.jpg
CCD Scanner Cable For HP LaserJet M125 / M126 / M127 / M128 Printer (CZ186-60104) (12+6)Pin 780MM,৳ 700.00,29.00 Pieces,7373,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761923872/download_58_igr7lp.jpg
CCD Scanner Cable For Hp Scanjet 3500F1,৳ 170.00,5.00 Pieces,7374,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761923930/download_59_gmomps.jpg
CCD Scanner Cable For Hp Scanjet 3500F1 (DHL),৳ 700.00,25.00 Pieces,7375,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761923973/download_60_zdsauq.jpg
CCD Scanner Cable for M1005 / M1136 / M1213 / M1218 / M1536 (14+6),৳ 700.00,19.00 Pieces,7376,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924018/download_61_mekiaz.jpg
CCD Scanner Cable for Pantum P2200 / P2500 / P6500 / P6550 / P6600 (9+5 Pin),৳ 700.00,8.00 Pieces,7377,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924055/download_62_qozh0o.jpg
CCD Scanner Cable Hp Scanjet 2500F1,৳ 600.00,5.00 Pieces,7378,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924221/download_63_asvea5.jpg
CCD Scanner Cable Scanning Scan CIS for HP 225 / 226 / M225dn / M225dw / M226dn / M226dw / M275 (12+6) 18Pin,৳ 700.00,16.00 Pieces,7379,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924319/download_64_kyenzv.jpg
CCTV MULTY CABLE (075430),৳ 450.00,1.00 Pieces,7380,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924365/download_65_joulkz.jpg
CD Tray Inner Leaf Sensor for Epson printer L800 / L805 / L810 / L850 / R290 / T60 / TX600FW (2090717),৳ 600.00,10.00 Pieces,7381,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924419/download_66_l3ot96.jpg
Cervice Charge For EPSON PLQ-30,"৳ 1,000.00",0.00 Pieces,7382,
Challanger 79A Toner Cartridge,৳ 700.00,0.00 Pieces,7383,
Challenger  83A LaserJet Toner Cartridge- Black,৳ 700.00,0.00 Pieces,7384,
CHALLENGER 55A Toner,"৳ 1,250.00",0.00 Pieces,7385,
Challenger MLT-D111S Black Toner Cartridge,"৳ 1,200.00",0.00 Pieces,7386,
Change Monitor Power IC With Service Charge,"৳ 2,500.00",0.00 Pieces,7387,
Change Power Controller With Service Charge,৳ 0.00,-1.00 Pieces,7388,
Charging  IC Replace,"৳ 1,000.00","1,109.00 Pieces",7389,
CHEMPLEX 710-53 SILICON GREASE,"৳ 2,800.00",0.00 Pieces,7390,
CHINA Laptop Adapter 12 Volt,৳ 850.00,1.00 Pieces,7391,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924478/download_68_pxwni6.jpg
CHINA Laptop Adapter 12 Volt With Power Cable (CN-431270),৳ 750.00,2.00 Pieces,7392,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924519/download_69_kkh3lf.jpg
China TV Combo Remote,৳ 150.00,2.00 Pieces,7393,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924565/download_70_glcyus.jpg
Chip Drum for Xerox WC C123 / C128 / M118 / M123 / M128 / 133 / C118 / C133 / 13R589 / 013R00589,৳ 650.00,5.00 Pieces,7394,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924609/download_71_oylmy6.jpg
Chip for (T40D1) L6160 / L6171 / L6170 / L6190 / M1180 / M2170 / M3180 / M2170 / M2140 / M1180 / M1170,৳ 200.00,19.00 Pieces,13925,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924724/download_zycazm.jpg
Chip for C9345 Epson D570 / ET-5800 / ET-5850 / ET-5880 / ET-16600 / ET-16650 / ET-16600 / ET-8500 / ET-8550 / C7000,৳ 450.00,18.00 Pieces,13924,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924790/download_1_udfiba.jpg
Chip For Drum Unit / Image hp LaserJet M436nda / M436n / M436 / 436nda / 436n (CF257A / 257A / 57A / CF257D),৳ 600.00,18.00 Pieces,7395,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761924867/download_2_rkg9yo.jpg
Chip for HP M304a / M305d / M305dn / M404n / M404dn / M404dw / M405n / M405dn / M405dw / M428dw / M428fdw / M428 / 76A Toner Chip CF276 (Imported),"৳ 3,700.00",-1.00 Pieces,7396,
Chip for Samsung Xpress Imaging Unit (Drum) MLT-R116 / M2875DW / M2835DW,৳ 350.00,15.00 Pieces,7397,
Chip for Samsung Xpress Imaging Unit (Drum) MLT-R116 / M2875DW / M2835DW (Imported),৳ 450.00,0.00 Pieces,7398,
Chip for Samsung- SL-M2625 / 2626 / 2825 / 2826 / 2676 / 2875 / 2876 / 2886 / 2836,৳ 370.00,0.00 Pieces,7399,
Chip For Toner Xerox Phaser 3330 WorkCentre 3335 / 3345 Toner Cartridge 106R03620 / 106R03621 / 106R03622 / 106R03623 / 106R03624 / 106R03625 (CHIP-3330T),৳ 650.00,35.00 Pieces,7400,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761925003/download_3_ti9vay.jpg
Chip for Toshiba e-STUDIO 2323 / 2329 / 2523 / 2822 / 2829 (Imported),৳ 700.00,0.00 Pieces,7401,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761926749/download_5_cmfao5.jpg
Chip FOR USE IN M15140 / L15150 / L15160 / L6570 (C9345),৳ 500.00,-3.00 Pieces,13840,
Chip Resetter For C9345 Epson D570 / ET-5800 / ET-5850 / ET-5880 / ET-16600 / ET-16650 / ET-16600 / ET-8500 / ET-8550 / C7000,"৳ 3,800.00",2.00 Pieces,13811,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761927975/download_6_phphrj.jpg
Chip Toner Cartridge CF256A / CF256 / 256A / 56A / Compatible For HP LaserJet M436nda / M436n / M436 / 436n / 436nda,"৳ 1,250.00",16.00 Pieces,7402,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928077/download_7_qtujo2.jpg
Chip Toner Cartridge for Pantum BP5100DN / BP5100DW / BM5100ADN / BM5100ADW / BM5100FDN / BM5100FDW (TL5120),৳ 500.00,10.00 Pieces,7403,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928141/download_8_rfuyzg.jpg
Chip Toner Cartridge Suitable for W1106A / 106A HP M107A / M107W / MFP M135 / M137 / M135A / M137Fnw,৳ 600.00,9.00 Pieces,7404,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928194/download_9_zxmyzn.jpg
Chip Toner for Pantum P3205D / P3225 / P3255 / P3405 / P3502 / P3100 / P3200 / P3500 (PC-310) (GGNL),৳ 700.00,-2.00 Pieces,7405,
Chip Toner for Pantum PA-310 / PA-310H / PA-310X / PC310 / 310X / PA310 / PA-310 / PC310 / PC-310,৳ 600.00,19.00 Pieces,7406,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928243/download_10_hlkpcp.jpg
Chip Toner for Xerox Phaser 3300 3330 WorkCentre 3335 3345 printer (Cartridge No. 106R03621 106R03623 106R03625 etc.Chip),৳ 800.00,-1.00 Pieces,7407,
Cleaner Head (Imported),৳ 250.00,1.00 Pieces,7408,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928401/download_11_ar3egk.jpg
Cleaning Blade 2200 / 3025 / 3235 / 3570 / 4570 (Imported),৳ 850.00,0.00 Pieces,7409,
Cleaning Blade for HP CP5525 / CP5225 / M750 / M775 (BL-5525),"৳ 1,500.00",6.00 Pieces,7410,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928447/download_12_iihur2.jpg
Cleaning Blade for konica minolta Bizhub 266 / 306 (Imported),৳ 600.00,0.00 Pieces,6987,
Cleaning Blade For Toshiba E STUDIO 2518A (imported),৳ 550.00,1.00 Pieces,7411,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928483/download_13_fqadgw.jpg
Cleaning blade for use in Ricoh MP 2014 / 2014D / 2014AD / MP2014 (Imported),৳ 350.00,0.00 Pieces,7412,
Cleaning Blade HP 85A,৳ 120.00,0.00 Pieces,7413,
Cleaning Blade Transfer Unit for HP CP5525 / 5525 / CP5225 / M775 / M750 (Refurbished),"৳ 5,620.00",0.00 Pieces,7414,
Cleaning Blade Unit for CP5525 / CP5225 / M750 / M775 /,৳ 0.00,0.00 Pieces,7415,
Cleaning Blade Unit for CP5525 / CP5225 / M750 / M775 / (Computable New),"৳ 2,200.00",0.00 Pieces,7416,
Cleaning Blade Unit for CP5525 / CP5225 / M750 / M775 / (Original New),"৳ 7,500.00",2.00 Pieces,7417,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928525/download_14_tr3b1v.jpg
Cleaning Blade Unit for HP M552 / M553 / M577 (B5L24-67901),"৳ 8,500.00",5.00 Pieces,7418,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928567/download_15_icjiac.jpg
Cleaning Blades For HP CP3525 / 3530 / 4025 / 4525 / M551 / M575 / M570 / (RM1-4982 CC468-67927),৳ 700.00,4.00 Pieces,7419,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928611/download_16_xplpl0.jpg
Cleaning Blades Unit For HP CP3525 / 3530 / 4025 / 4525 / M551 / M575 / M570 / (RM1-4982 CC468-67927)(Refurbished),"৳ 5,100.00",0.00 Pieces,7420,
Cleaning Blades Unit For HP CP3525 / 3530 / 4025 / 4525 / M551 / M575 / M570 / (RM1-5575-080)(Original)(Mico),"৳ 7,500.00",8.00 Pieces,7421,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928659/download_17_cojujx.jpg
Clone PC Power Supply-7258(Black),৳ 800.00,0.00 Pieces,7422,
Clone PC Power Supply-7258(Normal),৳ 600.00,2.00 Pieces,7423,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928698/download_18_shql7m.jpg
Clutch Gear 37/16T for HP Laserjet 5200 (RU5-0574-000),৳ 350.00,20.00 Pieces,13981,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761928789/download_19_gnfnvr.jpg
Clutch gear For HP 1160 / 1320 / P2035 / Canon -3300 (RU5-0325-000),৳ 250.00,12.00 Pieces,6988,
Clutch Gear For HP P3005 / P3015 / M521 / LBP-6780( RU5-0940),৳ 400.00,20.00 Pieces,7424,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761929076/download_20_lyp5jp.jpg
Clutch Gear For Samsung ML 1610 / 1640 / 1641 / 2010 / 2240 / 2241 / 2245 / SCX 4521 / 4521F / 4321 / 4321F / ML1610 / ML2010 / ML2240 / SCX4521 / 4321 (JC97-02179A),৳ 400.00,5.00 Pieces,7425,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761929115/download_21_vbflmm.jpg
Clutch Gear HP LaserJet M201 M202 / M225 / M226 (RU7-550),৳ 400.00,15.00 Pieces,7426,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761929157/download_22_bdij1l.jpg
Cmos Battery,৳ 30.00,4.00 Pieces,7427,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761929199/download_23_kkmqvc.jpg
"CMOS Battery,3Volt (Lithium) Maxell CR2032 (Single Package)",৳ 80.00,0.00 Pieces,7428,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932313/download_24_f75fsz.jpg
"COMBINATION / SPOOT GEAR FOR,LQ-1150/LQ-300+(1060747)",৳ 500.00,183.00 Pieces,7429,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932383/download_25_usbsqr.jpg
"COMBINATION / SPOOT GEAR FOR,LQ-1150/LQ-300+(1060747MBR)",৳ 500.00,"9,999,987.00 Pieces",7430,
COMBINATION GEAR  FOR LQ-2170/2180/2190,৳ 500.00,154.00 Pieces,7431,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932428/download_26_mgmeof.jpg
COMBINATION GEAR  FOR LQ-2170/2180/2190(MBR),৳ 500.00,"9,996.00 Pieces",7432,
"COMBINATION GEAR 17.5.27,FOR LQ-310 (PTR GEAR)",৳ 500.00,16.00 Pieces,7433,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932473/download_27_rrikdu.jpg
"COMBINATION GEAR 17.5.27,FOR LQ-310(MBR)",৳ 500.00,996.00 Pieces,7434,
"COMBINATION GEAR 8.5.30,FOR LQ-310",৳ 0.00,10.00 Pieces,7435,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932522/download_28_kz1nqc.jpg
"COMBINATION GEAR 8.5.30,FOR LQ-310(MBR)",৳ 700.00,"1,997.00 Pieces",7436,
Combination Gear For LQ-310,৳ 600.00,32.00 Pieces,7437,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932615/download_29_ugsqxo.jpg
Combination Gear For LQ-310(MBR),৳ 500.00,"4,994.00 Pieces",7438,
COMBINATION GEAR LQ-2180 GRADE A BLACK,৳ 400.00,16.00 Pieces,7439,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932428/download_26_mgmeof.jpg
COMBINATION GEAR RFA 5.1.16.2(1544503),৳ 200.00,109.00 Pieces,7440,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932428/download_26_mgmeof.jpg
COMBINATION GEAR RFA 5.1.16.2(1544503MBR),৳ 0.00,"1,110.00 Pieces",7441,
Combo Remote,৳ 55.00,2.00 Pieces,7442,
Common Spring,৳ 0.00,-1.00 Pieces,7443,
Compaq 6710B Laptop,"৳ 8,000.00",1.00 Pieces,7444,
COMPLEX RIBBON DFX-9000,"৳ 1,300.00",0.00 Pieces,7445,
COMPLEX RIBBON DLQ-3000 / DLQ-3000+ / DLQ-3500 / DLQ-3500II / DLQ-3500IIN,৳ 500.00,0.00 Pieces,7446,
COMPLEX RIBBON LQ-1050 / 1000,৳ 130.00,20.00 Pieces,7447,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761932939/download_30_zzcmnh.jpg
COMPLEX RIBBON LQ-2090,৳ 500.00,0.00 Pieces,7448,
COMPLEX RIBBON LQ-2180/2190,৳ 750.00,93.00 Pieces,7449,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933018/download_31_z7mook.jpg
COMPLEX RIBBON LQ-300 / 300+ / 300+II / 800,৳ 160.00,40.00 Pieces,7450,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933018/download_31_z7mook.jpg
COMPLEX RIBBON LQ-310,৳ 150.00,14.00 Pieces,7451,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933018/download_31_z7mook.jpg
COMPLEX RIBBON LQ-590,৳ 285.00,105.00 Pieces,7452,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933018/download_31_z7mook.jpg
COMPLEX RIBBON LQ-630K / 630KII / 635K / 610K / 615K / 730K / 735K / 80KF / 610KII,৳ 450.00,0.00 Pieces,7453,
COMPLEX RIBBON LQ-680 Pro,৳ 200.00,20.00 Pieces,7454,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933018/download_31_z7mook.jpg
COMPLEX RIBBON TM-U220 / ERC38 Black,৳ 100.00,30.00 Pieces,7455,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933130/download_32_yephju.jpg
CONNECTING WAIR,৳ 500.00,50.00 Pieces,7456,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933171/download_33_hshvzn.jpg
Connector PCA HP LJ Pro400 / M401 (RM2-7753),৳ 950.00,2.00 Pieces,7457,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933220/download_34_iw7mv6.jpg
Continues Sheet 7/9 with 3 Ply 1800 seet,৳ 850.00,0.00 Pieces,7458,
Control panel (2.7 inch display-4 line with 10 key) HP Enterprise M607 / M608 / M609,"৳ 11,000.00",2.00 Pieces,7459,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933440/download_35_h7uhc0.jpg
Control Panel / Display Cable-HP M227 (24 Pin),৳ 450.00,8.00 Pieces,7460,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933477/download_36_qddfe4.jpg
Control Panel / Display Panel For Epson L210 / L220 / L360 / L380 (1588302)(Original Refurbished),৳ 600.00,22.00 Pieces,7461,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933516/download_37_igeqkq.jpg
Control panel 22 Pin for HP LJ M426 / M427 (22Pin Cable- C5F98-60104),৳ 500.00,20.00 Pieces,7462,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933566/download_38_ojixkx.jpg
Control Panel Assay For Epson  L3110 (2188779),৳ 800.00,0.00 Pieces,7463,
Control Panel Assay For Epson  L3110 (2188779)(Jane),"৳ 1,000.00",5.00 Pieces,7464,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933609/download_39_mppbgg.jpg
Control Panel Assay HP Laserjet 252N (Imported),"৳ 2,000.00",1.00 Pieces,7465,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933671/download_40_h0eeo8.jpg
Control Panel Assembly For Canon IR 3225 / 3230 / 3235 / 3245 (FM3-7261-00),"৳ 3,500.00",0.00 Pieces,7466,
Control Panel Assembly For EPSON L-1300,৳ 500.00,0.00 Pieces,7467,
CONTROL PANEL ASSEMBLY for EPSON L1455,"৳ 4,200.00",1.00 Pieces,7468,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933945/download_41_gsnlll.jpg
CONTROL PANEL ASSEMBLY FOR EPSON L565 PRINTER (1654153),"৳ 2,500.00",1.00 Pieces,7469,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761933945/download_41_gsnlll.jpg
Control Panel Assembly for HP LaserJet M506dn / M506 Key Board LCD (J8H60-67904),"৳ 4,800.00",1.00 Pieces,7470,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934035/download_43_qprg4j.jpg
Control Panel Assembly for HP M404W,"৳ 1,800.00",2.00 Pieces,7471,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934081/download_abyykk.jpg
Control panel assembly For HP M436n / M436nda /  436 / 433 / 433A,"৳ 6,000.00",1.00 Pieces,7472,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934245/download_1_d1ruzm.jpg
Control Panel Assembly HP LaserJet 5200 (RK2-1097-000),"৳ 1,500.00",3.00 Pieces,7473,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934301/download_2_qyzqbp.jpg
Control Panel Assembly HP LaserJet Pro M402 / M403 (RM2-5424) (Imported),"৳ 1,500.00",0.00 Pieces,7474,
Control Panel Assembly HP LaserJet Pro M402 / M403 / M404 (RM2-5424),"৳ 1,800.00",2.00 Pieces,7475,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934386/download_3_xawu1y.jpg
Control Panel Assy For Epson L6160 / L6170 Printer (1724191),"৳ 3,800.00",2.00 Pieces,7476,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934430/download_4_mbhnk5.jpg
Control Panel Assy For Epson M100 Printer (2142720),৳ 700.00,8.00 Pieces,7477,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934475/download_5_eniafu.jpg
Control panel Cable,৳ 500.00,0.00 Pieces,7478,
Control Panel Cable Epson M100 / M105-11 Pin (2142720),৳ 500.00,24.00 Pieces,7479,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934519/download_6_zifcfn.jpg
Control panel Cable for Epson 1390 / 1400 / 1410 / 1430 / R260 / R270 / R360 / R380 / R390 / RX580 / RX590 / L1800 / 1500W / EP4004,৳ 500.00,29.00 Pieces,7480,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934929/download_7_m0tjt6.jpg
Control Panel Cable for Epson DLQ-3500 (23 Pin),৳ 800.00,15.00 Pieces,7481,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761934967/download_8_hbohbq.jpg
Control Panel Cable For Epson LQ-50,৳ 500.00,20.00 Pieces,13908,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935033/download_9_rhqiq2.jpg
Control Panel Cable for HP Desk Jet GT-5810 / GT-5820 / 10 Pin (GGNL) (8477690),৳ 500.00,25.00 Pieces,7483,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935033/download_9_rhqiq2.jpg
Control Panel Cable For HP Smart Tank 500 / 508 / 510 / 511 / 515 / 516 / 518 / 519 Printer (10 Pin),৳ 450.00,28.00 Pieces,7484,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935136/download_10_etpqsd.jpg
Control Panel Cable WF-7710 fits for EPSON 7610 / L1455 / 7621 / WF7710 / 7620 / 7218 / WF7720 (2250546),৳ 700.00,0.00 Pieces,7485,
Control Panel Cable WF-7710 fits for EPSON 7610 / L1455 / 7621 / WF7710 / 7620 / 7218 / WF7720 (2250546) (16 Pin),৳ 700.00,10.00 Pieces,7486,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935136/download_10_etpqsd.jpg
Control panel Canon Image Class LBP214DW,"৳ 2,800.00",0.00 Pieces,7487,
CONTROL PANEL DFX-9000,"৳ 3,500.00",2.00 Pieces,7488,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935224/download_12_fgvuam.jpg
Control Panel Epson LQ-595K  (Black Color),৳ 320.00,15.00 Pieces,7489,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935262/download_13_orvwe2.jpg
Control Panel for Epson DLQ-3500,"৳ 1,800.00",7.00 Pieces,7490,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935316/download_14_xg32zr.jpg
Control Panel for Epson L-1300 (1625419),৳ 900.00,4.00 Pieces,7491,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935355/download_15_ahkab6.jpg
Control Panel for HP Laser Jet P2035 / P2035 N Printer RC2-6286 (Imported),৳ 300.00,-1.00 Pieces,7492,
Control Panel for HP LJ pro 400 / M401 / 401dn (Button),"৳ 1,500.00",10.00 Pieces,7493,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935400/download_16_zgi6mv.jpg
Control Panel for HP LJ pro 400 / M401 / 401dn (Button) (Imported),"৳ 1,000.00",-2.00 Pieces,7494,
Control Panel for HP LJ pro 400 / M401 / 401dn (Imported),"৳ 2,000.00",2.00 Pieces,7495,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935400/download_16_zgi6mv.jpg
Control Panel For HP M252N (Grade A),"৳ 2,000.00",1.00 Pieces,7496,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935479/download_17_s14t57.jpg
Control Panel For LQ-2190,"৳ 1,800.00",30.00 Pieces,7497,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935262/download_13_orvwe2.jpg
Control Panel For LQ-2190(Grade-A),৳ 200.00,4.00 Pieces,7498,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935554/download_19_ox1qg5.jpg
Control Panel For LQ-2190(MBR),"৳ 1,000.00",999.00 Pieces,7499,
Control Panel For LQ-2190(Original)(1699315),৳ 560.00,3.00 Pieces,7500,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935262/download_13_orvwe2.jpg
Control Panel for LQ-590,"৳ 2,000.00",16.00 Pieces,7501,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935631/download_20_iybd7c.jpg
Control Panel for LQ-590(Used),৳ 300.00,-1.00 Pieces,7502,
CONTROL PANEL LQ-2180,"৳ 1,500.00",2.00 Pieces,7503,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935554/download_19_ox1qg5.jpg
CONTROL PANEL LQ-2180 (Recondition),৳ 500.00,20.00 Pieces,7504,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935554/download_19_ox1qg5.jpg
Control Panel Repair,৳ 500.00,"9,921.00 Pieces",7505,
"CONTROL PANEL,FOR LQ-300+II,(2037523)","৳ 1,000.00",0.00 Pieces,7506,
"CONTROL PANEL,FOR LQ-300+II,(2037523MBR)","৳ 1,000.00","99,999.00 Pieces",7507,
"CONTROL PANEL,FOR LQ-300+II,GRADE-A(2037523A)","৳ 1,000.00",0.00 Pieces,7508,
"CONTROL PANEL,FOR LQ-310 (2140286)","৳ 1,000.00",3.00 Pieces,7509,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935752/download_22_xnjjas.jpg
"CONTROL PANEL,FOR LQ-310 (2140286) (MBR)","৳ 1,000.00",0.00 Pieces,7510,
"CONTROL PANEL,FOR LQ-310 (2140286)(Imported)",৳ 700.00,8.00 Pieces,7511,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761935752/download_22_xnjjas.jpg
Cooling Fan,৳ 500.00,0.00 Pieces,7512,
Cooling fan fits for HP M154 / M252 / M256 / M280 / M281 / M277 / M180 / M181,"৳ 1,000.00",1.00 Pieces,7513,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762018683/download_1_lzwubb.jpg
COOLING FAN FOR PRINTER,৳ 500.00,10.00 Pieces,7514,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762018740/download_2_jb8uzv.jpg
Cooling Fan(Imported),৳ 400.00,2.00 Pieces,7515,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762018740/download_2_jb8uzv.jpg
Cooling Tharmal Pest Big,৳ 120.00,67.00 Pieces,7516,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762018785/download_3_ij8pde.jpg
Cordless SIM Phone,"৳ 2,500.00",0.00 Pieces,7517,
"COVER CR FOR LQ-2180/2170/2080,",৳ 500.00,43.00 Pieces,7518,
CP Plus Camera Repair,"৳ 1,000.00",-1.00 Pieces,7519,
CP Plus NVR Repair,"৳ 70,000.00","9,999.00 Pieces",7520,
CPU Cooling Fan HF-690,৳ 450.00,0.00 Pieces,7521,
CR Motor  Epson L1110 / L3100 / L3101 / L3110 / L3116,"৳ 1,000.00",7.00 Pieces,7522,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762018938/download_4_yrukmq.jpg
CR Motor Cable For LQ-2190,৳ 900.00,28.00 Pieces,7523,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762019031/41zsmco12bL_doxnkn.jpg
CR Motor For Epson Sure Color T3000/ T3050/ T3070/ T3080/ T3270 Printer (214280400),"৳ 5,500.00",1.00 Pieces,7524,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762019081/download_6_nb4v4q.jpg
Credit,"৳ 1,000.00",100.00 Pieces,7525,
CSIC ASSY for Epson L-1390 / 1400 / 1430 Cartridge Chip Connector / Ink Cartridge Connector Board,"৳ 1,500.00",2.00 Pieces,7526,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762019147/download_7_j8zjx0.jpg
Cutter Unit for Epson T82 / T82II (1691807),"৳ 2,700.00",3.00 Pieces,7527,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762019181/download_8_u2cwhk.jpg
Cutter Unit for Epson TM T81III,"৳ 2,800.00",3.00 Pieces,13927,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762019225/download_9_f4pqsw.jpg
D-Tech USB ADAPTOR HUB 0.3 M,৳ 600.00,1.00 Pieces,7528,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762019251/download_10_vyzhdp.jpg
D-Tech USB to Parallel Cable (1.8M),৳ 800.00,3.00 Pieces,7529,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762019279/download_11_dexxe2.jpg
D-Tech USB to Parallel Cable (3.00M),"৳ 1,000.00",2.00 Pieces,7530,https://res.cloudinary.com/dxxwnkrus/image/upload/v1762019326/download_13_ish9vu.jpg
Dahua 1200SP CC camera,"৳ 2,800.00",0.00 Pieces,7531,
